Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
A4GALT	ENSG00000128274.15	4.66	10.64	-1.04	8.31E-04	DOWN
AADAC	ENSG00000114771.13	0.96	192.584	-6.626	3.86E-37	DOWN
AASS	ENSG00000008311.14	1.98	7.735	-1.551	3.04E-21	DOWN
ABCA1	ENSG00000165029.15	3.24	31.83	-2.953	1.18E-29	DOWN
ABCA10	ENSG00000154263.17	0.45	2.905	-1.429	1.08E-13	DOWN
ABCA5	ENSG00000154265.15	8.17	19.225	-1.141	8.43E-11	DOWN
ABCA6	ENSG00000154262.12	0.31	4.22	-1.994	5.04E-15	DOWN
ABCA8	ENSG00000141338.13	9.17	49.35	-2.308	6.78E-14	DOWN
ABCA9	ENSG00000154258.16	0.22	2.97	-1.702	9.50E-25	DOWN
ABCB1	ENSG00000085563.14	56.141	208.433	-1.874	3.17E-16	DOWN
ABCC3	ENSG00000108846.15	26.48	204.541	-2.903	4.87E-25	DOWN
ABCG1	ENSG00000160179.18	8.06	34.195	-1.958	9.92E-11	DOWN
ABLIM1	ENSG00000099204.18	3.25	71.993	-4.102	1.10E-23	DOWN
ABLIM3	ENSG00000173210.19	2.81	7.345	-1.131	2.55E-05	DOWN
ABO	ENSG00000175164.13	2.76	13.56	-1.953	4.88E-09	DOWN
ABTB1	ENSG00000114626.17	9.42	25.579	-1.351	2.11E-10	DOWN
AC003991.3	ENSG00000228113.7	0.04	2.175	-1.61	2.18E-22	DOWN
AC005062.2	ENSG00000243004.5	0.96	3.555	-1.217	3.84E-19	DOWN
AC005104.3	ENSG00000223374.1	0.24	2.01	-1.279	1.67E-30	DOWN
AC005154.6	ENSG00000196295.11	12.69	35.685	-1.422	9.64E-21	DOWN
AC005154.7	ENSG00000244480.1	0.27	1.85	-1.166	6.53E-29	DOWN
AC005517.3	ENSG00000223878.1	0.26	2.47	-1.461	2.45E-31	DOWN
AC005519.4	ENSG00000258559.2	0.54	2.57	-1.213	5.27E-31	DOWN
AC005943.2	ENSG00000267059.2	0.12	1.67	-1.253	1.08E-04	DOWN
AC006116.27	ENSG00000267459.1	0	1.845	-1.508	1.06E-10	DOWN
AC006126.4	ENSG00000267045.1	1.08	4.885	-1.5	2.97E-19	DOWN
AC006128.2	ENSG00000279716.1	4.64	16.89	-1.665	1.05E-19	DOWN
AC006449.2	ENSG00000279119.1	6.74	23.585	-1.667	2.82E-12	DOWN
AC006547.13	ENSG00000236540.7	1.4	3.885	-1.025	4.72E-21	DOWN
AC007326.1	ENSG00000279560.1	0	3.56	-2.189	4.67E-29	DOWN
AC007566.10	ENSG00000244055.1	0.33	2.195	-1.264	2.39E-28	DOWN
AC008746.5	ENSG00000235681.1	0	1.3	-1.202	9.21E-05	DOWN
AC008993.2	ENSG00000282542.1	0.23	1.52	-1.035	4.67E-21	DOWN
AC009060.2	ENSG00000280006.1	0.15	2.825	-1.734	1.01E-21	DOWN
AC009120.3	ENSG00000239763.2	0.4	1.985	-1.092	2.24E-25	DOWN
AC009133.15	ENSG00000259952.1	0	2.319	-1.731	2.48E-09	DOWN
AC009410.1	ENSG00000232023.2	11.21	24.625	-1.07	2.73E-09	DOWN
AC010980.2	ENSG00000237732.9	1.14	3.795	-1.164	4.15E-10	DOWN
AC011239.1	ENSG00000224361.1	0.82	4.47	-1.588	7.59E-18	DOWN
AC011747.4	ENSG00000236008.1	0.23	1.615	-1.088	3.85E-05	DOWN
AC012314.8	ENSG00000237017.1	0.24	2.275	-1.401	1.72E-28	DOWN
AC013463.2	ENSG00000236283.3	0.26	1.84	-1.172	4.89E-11	DOWN
AC015849.19	ENSG00000270871.1	0.08	1.395	-1.149	1.39E-29	DOWN
AC019181.2	ENSG00000233255.1	0.11	1.32	-1.064	2.97E-17	DOWN
AC019181.3	ENSG00000224331.2	0.22	2.18	-1.382	1.95E-19	DOWN
AC020571.3	ENSG00000229056.2	0.14	1.41	-1.08	4.17E-04	DOWN
AC024560.3	ENSG00000214135.8	3.83	11.465	-1.368	1.98E-18	DOWN
AC064875.2	ENSG00000225649.5	0.09	1.355	-1.111	2.90E-24	DOWN
AC068580.5	ENSG00000229512.1	0	1.28	-1.189	2.22E-14	DOWN
AC068580.6	ENSG00000235027.1	0.76	2.72	-1.08	1.63E-22	DOWN
AC072052.7	ENSG00000231359.3	0	1.365	-1.242	9.49E-04	DOWN
AC074117.10	ENSG00000234072.1	1.35	3.96	-1.078	2.63E-22	DOWN
AC074289.1	ENSG00000225889.7	0.38	2.35	-1.28	1.74E-17	DOWN
AC079779.4	ENSG00000228643.1	0.53	2.705	-1.276	3.37E-11	DOWN
AC090616.2	ENSG00000214708.4	1.28	3.745	-1.057	7.66E-07	DOWN
AC092155.4	ENSG00000226622.5	0	1.32	-1.214	1.22E-18	DOWN
AC093110.3	ENSG00000238018.2	0.21	4.485	-2.18	3.52E-53	DOWN
AC093495.4	ENSG00000228242.6	1.7	4.58	-1.047	1.76E-12	DOWN
AC093642.3	ENSG00000237940.3	0.14	1.615	-1.198	1.07E-13	DOWN
AC093642.5	ENSG00000220804.8	1	3.085	-1.03	3.30E-15	DOWN
AC093690.1	ENSG00000223522.1	0.07	1.395	-1.162	2.36E-19	DOWN
AC093838.4	ENSG00000152117.17	4.87	10.74	-1	3.88E-13	DOWN
AC096772.6	ENSG00000244567.1	3.04	7.235	-1.027	2.71E-12	DOWN
AC104654.2	ENSG00000234362.5	0.18	1.4	-1.024	1.73E-11	DOWN
AC129492.1	ENSG00000279152.1	0	2	-1.585	8.88E-10	DOWN
AC137934.1	ENSG00000260923.5	0.7	3.84	-1.509	4.57E-14	DOWN
AC138035.2	ENSG00000238035.8	0.86	7.599	-2.209	3.41E-32	DOWN
AC138649.1	ENSG00000277867.1	0	4.525	-2.466	8.89E-20	DOWN
AC159540.1	ENSG00000230606.10	6.52	14.115	-1.007	1.05E-09	DOWN
ACAA2	ENSG00000167315.17	14.91	65.459	-2.063	1.24E-11	DOWN
ACACA	ENSG00000278540.4	11.76	24.594	-1.004	7.20E-14	DOWN
ACACB	ENSG00000076555.15	10.09	24.455	-1.199	1.00E-17	DOWN
ACAD11	ENSG00000240303.7	5.91	20.549	-1.641	7.72E-25	DOWN
ACAD8	ENSG00000151498.11	11.14	25.969	-1.152	8.43E-18	DOWN
ACADM	ENSG00000117054.13	29.619	72.348	-1.26	7.79E-07	DOWN
ACADVL	ENSG00000072778.19	421.123	1217.874	-1.53	9.01E-15	DOWN
ACAP3	ENSG00000131584.18	16.77	37.125	-1.101	3.39E-14	DOWN
ACBD4	ENSG00000181513.14	7.28	17.815	-1.184	1.11E-10	DOWN
ACCS	ENSG00000110455.13	6.63	41.161	-2.466	1.59E-23	DOWN
ACKR1	ENSG00000213088.9	0.71	6.273	-2.089	1.69E-09	DOWN
ACO1	ENSG00000122729.18	19.211	49.5	-1.321	7.89E-12	DOWN
ACOT2	ENSG00000119673.14	19.9	47.52	-1.215	4.19E-09	DOWN
ACOX2	ENSG00000168306.12	3.71	20.779	-2.209	5.73E-07	DOWN
ACRC	ENSG00000147174.11	0.49	2.07	-1.043	2.05E-11	DOWN
ACSBG1	ENSG00000103740.9	0.08	1.5	-1.211	6.04E-12	DOWN
ACSF2	ENSG00000167107.12	50.579	123.292	-1.269	1.48E-07	DOWN
ACSL5	ENSG00000197142.10	1.07	3.29	-1.051	5.69E-05	DOWN
ACSM5	ENSG00000183549.10	0.27	2.22	-1.342	2.29E-12	DOWN
ACTA1	ENSG00000143632.14	0.07	2.31	-1.629	4.81E-15	DOWN
ACTA2-AS1	ENSG00000180139.11	0.32	2.725	-1.497	7.00E-17	DOWN
ACTG2	ENSG00000163017.13	0.71	4.05	-1.562	4.34E-06	DOWN
ACTN1	ENSG00000072110.13	21.44	44.571	-1.022	2.12E-06	DOWN
ACTR3	ENSG00000115091.11	46.898	95.229	-1.006	6.80E-06	DOWN
ACTR3C	ENSG00000106526.10	2.28	7.065	-1.298	3.03E-05	DOWN
ACVRL1	ENSG00000139567.12	4.34	10.92	-1.158	1.38E-11	DOWN
ADAM22	ENSG00000008277.14	1.37	4.23	-1.142	5.64E-08	DOWN
ADAM28	ENSG00000042980.12	0.53	2.525	-1.204	2.56E-12	DOWN
ADAM33	ENSG00000149451.17	0.12	3.46	-1.994	1.83E-19	DOWN
ADAM9	ENSG00000168615.11	12.58	26.53	-1.019	4.79E-05	DOWN
ADAMTS1	ENSG00000154734.14	4.28	20.355	-2.016	1.15E-16	DOWN
ADAMTS10	ENSG00000142303.13	2.14	22.325	-2.893	1.87E-21	DOWN
ADAMTS12	ENSG00000151388.10	0.78	2.76	-1.079	2.95E-07	DOWN
ADAMTS2	ENSG00000087116.13	1.15	8.66	-2.168	1.55E-23	DOWN
ADAMTSL1	ENSG00000178031.15	1.17	5.44	-1.569	1.80E-11	DOWN
ADAMTSL2	ENSG00000197859.9	1.17	20.355	-3.299	9.31E-41	DOWN
ADAMTSL3	ENSG00000156218.12	0.18	1.525	-1.097	5.40E-21	DOWN
ADAMTSL4	ENSG00000143382.13	1.52	9.845	-2.106	9.42E-19	DOWN
ADAP2	ENSG00000184060.10	1.62	5.31	-1.268	5.27E-09	DOWN
ADAT2	ENSG00000189007.15	1.7	6.97	-1.562	1.52E-32	DOWN
ADCK3	ENSG00000163050.16	40.36	191.406	-2.218	7.78E-08	DOWN
ADCY4	ENSG00000129467.13	1.47	11.81	-2.375	1.98E-33	DOWN
ADCY5	ENSG00000173175.14	0.41	2.42	-1.278	2.43E-04	DOWN
ADCY6	ENSG00000174233.11	9.01	21.785	-1.187	3.54E-15	DOWN
ADCY7	ENSG00000121281.12	0.67	3.875	-1.546	1.84E-18	DOWN
ADGRE2	ENSG00000127507.17	0.34	1.805	-1.066	7.85E-14	DOWN
ADGRF5	ENSG00000069122.18	4.15	11.025	-1.223	1.31E-12	DOWN
ADGRL2	ENSG00000117114.19	7.29	20.93	-1.404	4.40E-07	DOWN
ADGRV1	ENSG00000164199.15	2.81	94.532	-4.648	1.19E-22	DOWN
ADH1B	ENSG00000196616.12	1.44	81.744	-5.084	2.04E-26	DOWN
ADHFE1	ENSG00000147576.15	2.93	13.46	-1.879	1.51E-17	DOWN
ADIRF-AS1	ENSG00000272734.1	3.31	14.865	-1.88	2.18E-14	DOWN
ADORA3	ENSG00000121933.17	2.2	9.015	-1.646	5.21E-08	DOWN
ADPRH	ENSG00000144843.11	1.81	5.54	-1.219	3.10E-12	DOWN
ADPRHL1	ENSG00000153531.12	0.76	2.96	-1.17	3.84E-06	DOWN
