Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
ABCC6P2	ENSG00000255277.3	1.52	0.25	1.011	2.09E-09	UP
ABRACL	ENSG00000146386.7	18.181	5.32	1.602	2.66E-12	UP
AC000089.3	ENSG00000235776.2	2.66	0.35	1.439	2.41E-34	UP
AC005255.3	ENSG00000256210.3	4.21	0.409	1.887	4.76E-14	UP
AC005786.7	ENSG00000267436.1	7.63	0	3.109	3.77E-06	UP
AC005943.6	ENSG00000279009.1	7.18	0	3.032	1.57E-07	UP
AC005944.2	ENSG00000267469.1	12.31	2.345	1.993	1.85E-08	UP
AC007192.6	ENSG00000269145.2	5.15	1.615	1.234	6.42E-07	UP
AC007283.5	ENSG00000234431.2	5.09	0.659	1.876	2.76E-11	UP
AC009065.4	ENSG00000279473.1	3.71	0	2.236	3.01E-42	UP
AC009237.5	ENSG00000237308.1	1.29	0	1.195	5.56E-15	UP
AC011737.2	ENSG00000204196.5	19.65	8.485	1.122	4.77E-13	UP
AC012065.1	ENSG00000279307.1	2.61	0.32	1.451	3.00E-32	UP
AC016292.3	ENSG00000108958.4	2.42	0.605	1.091	1.81E-12	UP
AC016734.2	ENSG00000228305.2	2.12	0.54	1.019	1.02E-13	UP
AC016739.2	ENSG00000218175.2	19.02	8.835	1.025	1.99E-10	UP
AC079250.1	ENSG00000230979.3	2.7	0.6	1.209	8.21E-21	UP
AC079922.2	ENSG00000231747.1	1.44	0.19	1.036	3.03E-27	UP
AC110615.1	ENSG00000279909.1	6.51	0	2.909	7.71E-08	UP
AC112497.1	ENSG00000279413.1	3.32	1.05	1.075	2.49E-09	UP
AC132217.4	ENSG00000240801.1	5394.224	46.691	6.822	2.22E-24	UP
ACADL	ENSG00000115361.7	5.33	1.015	1.651	7.48E-08	UP
ACKR3	ENSG00000144476.5	5.91	1.91	1.248	9.18E-10	UP
ACSM3	ENSG00000005187.11	15.07	6.585	1.083	1.14E-05	UP
ADCK2	ENSG00000133597.9	17.03	7.92	1.015	1.84E-10	UP
AF127577.10	ENSG00000229047.1	20.99	7.055	1.449	6.29E-11	UP
AGRP	ENSG00000159723.4	41.151	7.919	2.241	7.96E-05	UP
AIF1L	ENSG00000126878.12	11.41	3.37	1.506	2.63E-07	UP
AK4	ENSG00000162433.14	3.11	0.71	1.265	5.92E-07	UP
AL158801.1	ENSG00000279392.1	3.56	0.42	1.683	4.05E-26	UP
ALDOC	ENSG00000109107.13	73.511	17.485	2.011	1.76E-09	UP
ALKBH7	ENSG00000125652.7	96.562	47.72	1.002	1.64E-08	UP
AMH	ENSG00000104899.5	2.56	0.345	1.404	5.96E-11	UP
ANGPT2	ENSG00000091879.13	4.35	0.19	2.169	2.44E-30	UP
ANGPTL2	ENSG00000136859.9	17.111	6.425	1.286	5.14E-15	UP
ANLN	ENSG00000011426.10	5.91	0.845	1.905	2.22E-13	UP
AP1S1	ENSG00000106367.13	71.209	28.515	1.291	4.38E-10	UP
APLP1	ENSG00000105290.11	14.48	2.43	2.174	3.28E-03	UP
APOBEC3B	ENSG00000179750.15	7.45	0.985	2.09	8.07E-12	UP
APOLD1	ENSG00000178878.12	6.24	2.19	1.182	4.37E-04	UP
ARAP1-AS1	ENSG00000256007.1	12.73	0	3.779	2.31E-06	UP
ARMCX7P	ENSG00000204072.3	21.17	2.655	2.601	6.10E-08	UP
ASF1B	ENSG00000105011.8	8.16	1.15	2.091	6.44E-18	UP
ATP1A3	ENSG00000105409.15	2.73	0.2	1.636	6.07E-04	UP
ATP6V1F	ENSG00000128524.4	283.046	131.748	1.097	1.72E-11	UP
AURKA	ENSG00000087586.17	7.04	1.66	1.596	5.57E-12	UP
AURKB	ENSG00000178999.12	4.19	1.585	1.006	1.53E-04	UP
