# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-1940"			
"# Timestamp: Mon, 08-Jan-2024 16:00:09"			
Gene ID	Gene Name	NMIBC' vs 'normal' .foldChange	NMIBC' vs 'normal'.pValue
ENSG00000000003	TSPAN6	1.2	3.61E-05
ENSG00000000005	TNMD	-0.8	0.255876825
ENSG00000000419	DPM1	-0.2	0.523645179
ENSG00000000457	SCYL3	-0.6	0.032548879
ENSG00000000460	C1orf112	0.3	0.559235391
ENSG00000000938	FGR	0.7	0.106834258
ENSG00000000971	CFH	1.9	2.83E-05
ENSG00000001036	FUCA2	0.5	0.049154709
ENSG00000001084	GCLC	0.7	0.01766916
ENSG00000001167	NFYA	0.9	0.002413969
ENSG00000001460	STPG1	-1	1.17E-04
ENSG00000001461	NIPAL3	0.5	0.045371837
ENSG00000001497	LAS1L	0.2	0.009357157
ENSG00000001561	ENPP4	0.6	0.119241533
ENSG00000001617	SEMA3F	0.7	0.023968655
ENSG00000001626	CFTR	1.3	0.022886331
ENSG00000001629	ANKIB1	1	0.003775964
ENSG00000001630	CYP51A1	-0.5	0.266689343
ENSG00000002016	RAD52	0.9	0.006087183
ENSG00000002079	MYH16	-0.6	0.422644806
ENSG00000002330	BAD	-0.4	0.144857394
ENSG00000002549	LAP3	0.8	4.89E-10
ENSG00000002586	CD99	1.3	1.47E-06
ENSG00000002587	HS3ST1	-1.3	9.72E-06
ENSG00000002745	WNT16	-0.1	0.863683209
ENSG00000002746	HECW1	-1.7	2.93E-11
ENSG00000002822	MAD1L1	-0.5	0.028136325
ENSG00000002834	LASP1	-0.2	0.54811484
ENSG00000002919	SNX11	-0.1	0.401084139
ENSG00000002933	TMEM176A	1.9	9.73E-08
ENSG00000003056	M6PR	-0.3	0.272570403
ENSG00000003096	KLHL13	0.2	0.552026398
ENSG00000003137	CYP26B1	-1.6	3.29E-05
ENSG00000003147	ICA1	-1.5	1.11E-14
ENSG00000003249	DBNDD1	-1.1	0.001089941
ENSG00000003393	ALS2	-0.5	2.55E-06
ENSG00000003400	CASP10	0.7	0.009863084
ENSG00000003402	CFLAR	1.1	1.64E-12
ENSG00000003436	TFPI	1.5	4.82E-05
ENSG00000003509	NDUFAF7	-0.3	0.153984165
ENSG00000003756	RBM5	0.2	0.280698992
ENSG00000003987	MTMR7	-0.7	0.03447443
ENSG00000003989	SLC7A2	1.6	8.86E-04
ENSG00000004059	ARF5	-1.1	0.001694293
ENSG00000004139	SARM1	-0.1	0.744414731
ENSG00000004142	POLDIP2	-0.4	0.00232106
ENSG00000004399	PLXND1	0.2	0.539044245
ENSG00000004455	AK2	0.6	2.65E-05
ENSG00000004468	CD38	1	0.087500729
ENSG00000004478	FKBP4	-0.4	0.236184385
ENSG00000004487	KDM1A	-0.5	0.027261878
ENSG00000004534	RBM6	0.4	0.056585166
ENSG00000004660	CAMKK1	-1.9	2.36E-04
ENSG00000004700	RECQL	0.6	0.028262944
ENSG00000004766	VPS50	-0.9	5.37E-08
ENSG00000004777	ARHGAP33	0.3	0.371263568
ENSG00000004779	NDUFAB1	-0.9	1.95E-05
ENSG00000004799	PDK4	2.4	7.15E-08
ENSG00000004809	SLC22A16	1.1	0.16603543
ENSG00000004838	ZMYND10	0.4	0.453432534
ENSG00000004846	ABCB5	1.3	0.121846533
ENSG00000004848	ARX	-0.3	0.248675054
ENSG00000004864	SLC25A13	0.9	0.005219141
ENSG00000004866	ST7	-0.3	0.136303092
ENSG00000004897	CDC27	-0.3	0.30009382
ENSG00000004939	SLC4A1	2.7	3.76E-04
ENSG00000004948	CALCR	-1	0.208584527
ENSG00000004961	HCCS	-1	5.29E-06
ENSG00000004975	DVL2	0.4	0.002837459
ENSG00000005007	UPF1	0.2	0.549060134
ENSG00000005020	SKAP2	-0.5	0.017815024
ENSG00000005022	SLC25A5	-0.6	7.73E-04
ENSG00000005059	MCUB	0.7	0.126098337
ENSG00000005075	POLR2J	0.4	0.050697465
ENSG00000005100	DHX33	-0.3	0.046381565
ENSG00000005108	THSD7A	-0.1	0.889615077
ENSG00000005156	LIG3	-0.2	0.320729222
ENSG00000005175	RPAP3	-0.2	0.391363021
ENSG00000005187	ACSM3	0.4	0.663854167
ENSG00000005189	REXO5	-0.6	0.030664703
ENSG00000005194	CIAPIN1	-0.8	0.006794016
ENSG00000005238	FAM214B	0.2	0.323959212
ENSG00000005243	COPZ2	1	0.003262892
ENSG00000005249	PRKAR2B	-0.7	0.037502427
ENSG00000005302	MSL3	-0.5	6.98E-04
ENSG00000005339	CREBBP	0.2	0.285407
ENSG00000005379	TSPOAP1	-0.2	0.477906165
ENSG00000005381	MPO	-0.4	0.215477866
ENSG00000005421	PON1	0.9	0.218214247
ENSG00000005436	GCFC2	0.1	0.844376236
ENSG00000005448	WDR54	-0.9	0.038003374
ENSG00000005469	CROT	0.2	0.468269433
ENSG00000005471	ABCB4	-0.1	0.906122535
ENSG00000005483	KMT2E	0.5	0.11482066
ENSG00000005486	RHBDD2	-0.8	0.017472453
ENSG00000005513	SOX8	1.2	1.04E-05
ENSG00000005700	IBTK	0.3	0.371346946
ENSG00000005810	MYCBP2	-1.2	3.23E-05
ENSG00000005812	FBXL3	0.2	0.526080271
ENSG00000005844	ITGAL	1.8	0.003142067
ENSG00000005882	PDK2	-0.5	0.094500173
ENSG00000005884	ITGA3	-0.7	0.023069765
ENSG00000005889	ZFX	0.9	0.013569373
ENSG00000005893	LAMP2	1.2	0.004059
ENSG00000005961	ITGA2B	-0.3	0.284903524
ENSG00000005981	ASB4	0.7	0.243496111
ENSG00000006007	GDE1	-0.3	0.055955033
ENSG00000006015	REX1BD	-0.6	0.155911861
ENSG00000006016	CRLF1	-0.7	0.137772653
ENSG00000006025	OSBPL7	0.2	0.349977579
ENSG00000006042	TMEM98	0.9	0.046300686
ENSG00000006047	YBX2	-0.7	0.124231745
ENSG00000006071	ABCC8	-1.1	0.003215834
ENSG00000006116	CACNG3	-1.5	3.49E-05
ENSG00000006118	TMEM132A	0.1	0.798472633
ENSG00000006125	AP2B1	-0.3	0.026179419
ENSG00000006128	TAC1	-1.7	0.018504305
ENSG00000006194	ZNF263	-0.2	0.516525262
ENSG00000006210	CX3CL1	-1	0.030159628
ENSG00000006282	SPATA20	0.3	0.279669054
ENSG00000006283	CACNA1G	-1.3	5.73E-10
ENSG00000006327	TNFRSF12A	1.2	0.026731124
ENSG00000006377	DLX6	-0.9	0.06950832
ENSG00000006432	MAP3K9	-1.5	2.14E-06
ENSG00000006451	RALA	0.4	0.128307868
ENSG00000006453	BAIAP2L1	1.2	2.95E-04
ENSG00000006468	ETV1	0.1	0.855437336
ENSG00000006530	AGK	-0.6	7.16E-07
ENSG00000006534	ALDH3B1	0.9	0.002455621
ENSG00000006555	TTC22	-0.7	0.25870378
ENSG00000006576	PHTF2	0.2	0.485352825
ENSG00000006607	FARP2	0.5	0.071129611
ENSG00000006611	USH1C	1.2	0.03530619
ENSG00000006625	GGCT	-0.5	0.054778429
ENSG00000006634	DBF4	-0.1	0.77870482
ENSG00000006638	TBXA2R	0.9	0.026153916
ENSG00000006652	IFRD1	0.2	0.52582858
ENSG00000006695	COX10	-0.5	0.024008982
ENSG00000006715	VPS41	-0.4	4.15E-04
ENSG00000006740	ARHGAP44	-1	0.00192923
ENSG00000006744	ELAC2	-0.3	0.430759917
ENSG00000006747	SCIN	2.6	2.95E-04
ENSG00000006756	ARSD	0.8	0.019495293
ENSG00000006757	PNPLA4	0.1	0.830017429
ENSG00000006788	MYH13	-0.7	0.346191416
ENSG00000006831	ADIPOR2	1.2	1.72E-08
ENSG00000006837	CDKL3	0.3	0.501135409
ENSG00000007001	UPP2	0.3	0.41761519
ENSG00000007038	PRSS21	0.1	0.893498098
ENSG00000007047	MARK4	-0.4	0.209117201
ENSG00000007062	PROM1	1	3.55E-06
ENSG00000007080	CCDC124	-0.3	0.354120833
ENSG00000007129	CEACAM21	1.7	0.007255015
ENSG00000007168	PAFAH1B1	-0.6	0.003215661
ENSG00000007171	NOS2	-1.9	4.27E-05
ENSG00000007174	DNAH9	-1.3	1.09E-04
ENSG00000007202	KIAA0100	-0.3	0.3368517
ENSG00000007237	GAS7	-0.6	4.36E-04
ENSG00000007255	TRAPPC6A	0.3	0.233380807
ENSG00000007264	MATK	-1	0.028942513
ENSG00000007312	CD79B	0.1	0.876295466
ENSG00000007341	ST7L	0.2	0.434241619
ENSG00000007350	TKTL1	0.9	0.223542623
ENSG00000007372	PAX6	1.2	0.033929584
ENSG00000007376	RPUSD1	-0.7	0.041431046
ENSG00000007384	RHBDF1	1.1	9.43E-06
ENSG00000007392	LUC7L	0.1	0.402442498
ENSG00000007402	CACNA2D2	-0.8	5.03E-06
ENSG00000007516	BAIAP3	-0.5	0.447997349
ENSG00000007520	TSR3	-0.2	0.714522036
ENSG00000007541	PIGQ	-0.1	0.845579359
ENSG00000007545	CRAMP1	0.1	0.63722204
ENSG00000007866	TEAD3	1.6	7.31E-07
ENSG00000007908	SELE	2.4	1.19E-04
ENSG00000007923	DNAJC11	-0.5	0.083513185
ENSG00000007933	FMO3	1.2	0.029449221
ENSG00000007944	MYLIP	0.4	0.240783778
ENSG00000007952	NOX1	0.2	0.760585095
ENSG00000007968	E2F2	3.3	2.39E-06
ENSG00000008018	PSMB1	-0.1	0.511762506
ENSG00000008056	SYN1	-1.3	0.00664603
ENSG00000008083	JARID2	0.3	0.382859919
ENSG00000008086	CDKL5	-1	3.95E-05
ENSG00000008118	CAMK1G	-1.5	7.69E-04
ENSG00000008128	CDK11A	0.8	0.0425883
ENSG00000008226	DLEC1	1.1	0.092618191
ENSG00000008256	CYTH3	-0.4	0.023131112
ENSG00000008277	ADAM22	-0.9	1.37E-08
ENSG00000008282	SYPL1	1.1	0.00471139
ENSG00000008283	CYB561	-1	0.01748825
ENSG00000008294	SPAG9	0.8	0.013296207
ENSG00000008300	CELSR3	-0.6	0.027110081
ENSG00000008311	AASS	1	0.05510289
ENSG00000008324	SS18L2	-0.1	0.864620904
ENSG00000008382	MPND	-0.7	0.104199722
ENSG00000008394	MGST1	2.3	3.63E-06
ENSG00000008405	CRY1	0.9	0.009735973
ENSG00000008438	PGLYRP1	-0.2	0.768835399
ENSG00000008441	NFIX	0.1	0.502508145
ENSG00000008513	ST3GAL1	-0.2	0.224904026
ENSG00000008516	MMP25	1.1	0.024498734
ENSG00000008517	IL32	0.8	0.024324289
ENSG00000008710	PKD1	-1	0.012936329
ENSG00000008735	MAPK8IP2	-0.8	0.035641897
ENSG00000008853	RHOBTB2	-1.1	5.71E-05
ENSG00000008869	HEATR5B	-0.5	0.029370276
ENSG00000008952	SEC62	0.7	0.062824559
ENSG00000008988	RPS20	0.5	0.008443446
ENSG00000009307	CSDE1	0.4	0.167053222
ENSG00000009335	UBE3C	-0.5	0.00142203
ENSG00000009413	REV3L	0.6	0.052381455
ENSG00000009694	TENM1	0.4	0.070833722
ENSG00000009709	PAX7	-2.4	2.70E-10
ENSG00000009724	MASP2	-0.7	0.006087166
ENSG00000009780	FAM76A	-0.1	0.877584992
ENSG00000009790	TRAF3IP3	0.8	0.258613589
ENSG00000009830	POMT2	0.7	0.001543333
ENSG00000009844	VTA1	-0.4	0.053576358
ENSG00000009950	MLXIPL	-0.3	0.515358088
ENSG00000009954	BAZ1B	0.4	0.019558826
ENSG00000010017	RANBP9	-0.5	0.015799295
ENSG00000010030	ETV7	0.1	0.882873506
ENSG00000010072	SPRTN	0.3	0.384334013
ENSG00000010165	EEF1AKNMT	-0.4	0.21337493
ENSG00000010244	ZNF207	0.2	0.454284572
ENSG00000010256	UQCRC1	-1	5.17E-04
ENSG00000010270	STARD3NL	0.3	0.335183332
ENSG00000010278	CD9	0.8	0.06175011
ENSG00000010292	NCAPD2	0.7	2.43E-04
ENSG00000010295	IFFO1	-0.6	0.125804542
ENSG00000010310	GIPR	0.9	0.002216294
ENSG00000010318	PHF7	-0.6	0.005820921
ENSG00000010322	NISCH	-0.3	0.46735158
ENSG00000010327	STAB1	1.6	0.006986144
ENSG00000010361	FUZ	0.4	0.195031145
ENSG00000010404	IDS	-0.7	0.008153707
ENSG00000010438	PRSS3	-1.4	0.001084865
ENSG00000010539	ZNF200	-0.2	0.353325283
ENSG00000010610	CD4	1.1	0.012179919
ENSG00000010626	LRRC23	-0.1	0.856611933
ENSG00000010671	BTK	1.6	0.003943939
ENSG00000010704	HFE	1.1	0.006788409
ENSG00000010803	SCMH1	-0.1	0.777288319
ENSG00000010810	FYN	0.6	3.81E-08
ENSG00000010818	HIVEP2	-1.2	1.92E-07
ENSG00000010932	FMO1	0.9	0.165520029
ENSG00000011007	ELOA	0.4	0.006030163
ENSG00000011009	LYPLA2	-0.3	0.46388254
ENSG00000011021	CLCN6	-0.4	0.001414171
ENSG00000011028	MRC2	0.6	0.02021415
ENSG00000011083	SLC6A7	-1.8	6.09E-17
ENSG00000011105	TSPAN9	-0.8	4.06E-04
ENSG00000011114	BTBD7	0.6	0.037354875
ENSG00000011132	APBA3	0.4	0.132049857
ENSG00000011143	MKS1	0.4	0.042101705
ENSG00000011198	ABHD5	1	0.001698564
ENSG00000011201	ANOS1	0.9	0.01052871
ENSG00000011243	AKAP8L	-0.1	0.783598092
ENSG00000011258	MBTD1	0.8	0.037496718
ENSG00000011260	UTP18	-0.2	0.200930787
ENSG00000011275	RNF216	0.2	0.231743335
ENSG00000011295	TTC19	-0.7	2.68E-04
ENSG00000011304	PTBP1	1	1.06E-07
ENSG00000011332	DPF1	-1	0.002516992
ENSG00000011347	SYT7	-1.2	0.002175905
ENSG00000011376	LARS2	0.3	0.088405292
ENSG00000011405	PIK3C2A	1.1	0.03306724
ENSG00000011422	PLAUR	1.3	6.78E-07
ENSG00000011426	ANLN	1.9	9.22E-07
ENSG00000011451	WIZ	0.3	0.26395345
ENSG00000011454	RABGAP1	0.1	0.529248537
